GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project-1,views,View2.new ActionListener() {...},23,0,0,0,4,0,2,0,2,0
Project-1,views,View2.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
Project-1,views,View2.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
Project-1,views,Welcome,478,0,0,0,108,0,6,0,6,0
Project-1,views,Welcome.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
Project-1,views,Welcome.new ActionListener() {...},92,0,6,0,21,0,5,0,2,0
Project-1,views,Welcome.new ActionListener() {...},91,0,6,0,23,0,5,0,2,0
Project-1,views,QuizNameScreen,141,0,10,0,36,0,9,0,4,0
Project-1,views,View2,125,0,0,0,27,0,1,0,1,0
Project-1,views,Welcome.new ActionListener() {...},23,0,0,0,6,0,2,0,2,0
Project-1,views,Welcome.new ActionListener() {...},26,0,0,0,9,0,2,0,2,0
Project-1,Detail,GetDetail,139,0,6,0,32,0,7,0,4,0
Project-1,Detail,accountDetail,187,0,11,0,49,0,13,0,6,0
Project-1,db,Myconnection,37,0,2,0,17,0,5,0,4,0
